"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29522","Standard user purchase flow","firefox","2026-05-06","passed","2026-05-06","","standard_user.spec.js","",""
"","9757","Standard user: reset state, add 3 items, checkout, verify order, reset and logout","","2026-05-08","passed","2026-05-08","Q2 - Standard User Purchase Flow","tests\standard_user.spec.js","",""
"","2481","Login with locked_out_user","chromium","2026-05-06","passed","2026-05-06","","login.spec.js","",""
"","26038","Performance glitch user purchase flow","firefox","2026-05-06","passed","2026-05-06","","performance_user.spec.js","",""
"","28568","Standard user purchase flow","chromium","2026-05-06","passed","2026-05-06","","standard_user.spec.js","",""
"","21018","Performance glitch user purchase flow","","2026-05-07","passed","2026-05-07","","tests\performance_user.spec.js","",""
"","12921","Login with locked_out_user","","2026-05-08","passed","2026-05-08","","saucedemo-playwright\tests\login.spec.js","",""
"","16793","Standard user purchase flow","","2026-05-08","passed","2026-05-08","","saucedemo-playwright\tests\standard_user.spec.js","",""
"","8620","Standard user can add product to cart","","2026-05-07","passed","2026-05-07","","tests\standard_user.spec.js","",""
"","21584","Performance glitch user: reset, sort Z-A, add first product, checkout, verify, reset and logout","","2026-05-08","passed","2026-05-08","Q3 - Performance Glitch User Purchase Flow","tests\performance_user.spec.js","",""
"","25823","Performance glitch user purchase flow","chromium","2026-05-06","passed","2026-05-06","","performance_user.spec.js","",""
"","9218","Standard user purchase flow","","2026-05-08","passed","2026-05-08","","tests\standard_user.spec.js","",""
"","14628","Login with locked_out_user and verify error message","","2026-05-08","passed","2026-05-08","Q1 - Login Tests","tests\login.spec.js","",""
"","5209","Login with locked_out_user","firefox","2026-05-06","passed","2026-05-06","","login.spec.js","",""
"","25405","Performance glitch user purchase flow","","2026-05-08","passed","2026-05-08","","saucedemo-playwright\tests\performance_user.spec.js","",""
"","18123","Login with standard user","","2026-05-07","passed","2026-05-07","","tests\login.spec.js","",""
